"treatment","age","gender","ethnicity","ethnicity_akan","ethnicity_ewe","ethnicity_ga","higheducation","employed","tmonthlyincome","church_daily","church_weekly","pray_multiple","travels_more_than_hour","revival","choice_keep_church","choice_keep_thanks","choice_keep_street","wave","Tinsurance","Tinsuranceinfo","Tnoinsurance","Female","Wave_2"
"No insurance",19,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.473684210526316,"2","0","0","1",1,1
"Insurance",29,"Male","Other",0,0,0,"1","1",598.277910438977,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","1","0","0",0,1
"No insurance",28,"Female","Other",0,0,0,"1","0",661.254532590448,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.473684210526316,"2","0","0","1",1,1
"No insurance",52,"Female","Other",0,0,0,"0","0",173.185710916546,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","0","0","1",1,1
"Insurance information",45,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.473684210526316,"2","0","1","0",1,1
"No insurance",38,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.526315789473684,1,0.526315789473684,"2","0","0","1",1,1
"Insurance",24,"Male","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.473684210526316,"2","1","0","0",0,1
"Insurance information",19,"Female","Ewe",0,1,0,"0","0",0,"0","1","1","0","0",0.736842105263158,0.526315789473684,0.736842105263158,"2","0","1","0",1,1
"Insurance information",37,"Male","Other",0,0,0,"1","1",236.162333068017,"0","1","1","0","0",0.526315789473684,0.736842105263158,0.526315789473684,"2","0","1","0",0,1
"Insurance information",39,"Female","Other",0,0,0,"0","0",346.371421833092,"0","1","1","0","0",0.736842105263158,0.526315789473684,0.473684210526316,"2","0","1","0",1,1
"Insurance",34,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","1","0",1,1,1,"2","1","0","0",1,1
"Insurance information",59,"Female","Other",0,0,0,"1","0",661.254532590448,"0","1","1","0","0",0.894736842105263,0.894736842105263,0.894736842105263,"2","0","1","0",1,1
"Insurance",31,"Female","Other",0,0,0,"1","1",661.254532590448,"0","1","1","0","0",0.842105263157895,0.842105263157895,0.842105263157895,"2","1","0","0",1,1
"Insurance",23,"Female","Other",0,0,0,"0","0",15.7441555378678,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","1","0","0",1,1
"No insurance",43,"Female","Other",0,0,0,"0","1",0,"0","1","1","0","0",0.947368421052632,0.894736842105263,0.736842105263158,"2","0","0","1",1,1
"Insurance",41,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"Insurance information",39,"Female","Other",0,0,0,"0","1",409.348043984563,"0","1","1","0","0",0.526315789473684,0.578947368421053,0.578947368421053,"2","0","1","0",1,1
"Insurance information",52,"Female","Other",0,0,0,"0","1",346.371421833092,"1","1","1","0","0",0.368421052631579,0.526315789473684,0.368421052631579,"2","0","1","0",1,1
"No insurance",48,"Female","Other",0,0,0,"0","1",346.371421833092,"0","1","1","1","0",0.526315789473684,0.736842105263158,0.473684210526316,"2","0","0","1",1,1
"No insurance",27,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.210526315789474,"2","0","0","1",1,1
"Insurance information",27,"Female","Other",0,0,0,"1","1",661.254532590448,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","1","0",1,1
"No insurance",56,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","0","1",1,1
"Insurance information",54,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.736842105263158,0.526315789473684,0.736842105263158,"2","0","1","0",1,1
"Insurance information",25,"Female","Other",0,0,0,"0","1",409.348043984563,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","1","0",1,1
"No insurance",48,"Female","Other",0,0,0,"0","1",661.254532590448,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"No insurance",34,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.473684210526316,"2","0","0","1",1,1
"No insurance",33,"Male","Other",0,0,0,"0","1",661.254532590448,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","0","1",0,1
"No insurance",25,"Female","Other",0,0,0,"0","0",141.69739984081,"0","1","1","0","0",0.736842105263158,0.263157894736842,0.736842105263158,"2","0","0","1",1,1
"No insurance",62,"Male","Other",0,0,0,"0","0",236.162333068017,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.894736842105263,"2","0","0","1",0,1
"Insurance",40,"Female","Other",0,0,0,"1","1",598.277910438977,"0","1","1","1","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","1","0","0",1,1
"Insurance information",70,"Female","Other",0,0,0,"0","0",47.2324666136034,"0","1","1","0","0",0.894736842105263,0.894736842105263,0.526315789473684,"2","0","1","0",1,1
"No insurance",27,"Female","Other",0,0,0,"1","0",141.69739984081,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"No insurance",39,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.894736842105263,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"Insurance",18,"Female","Other",0,0,0,"0","0",78.7207776893391,"0","1","1","0","0",0.631578947368421,0.526315789473684,0.526315789473684,"2","1","0","0",1,1
"Insurance",39,"Female","Other",0,0,0,"1","1",598.277910438977,"0","1","1","0","0",0.631578947368421,0.631578947368421,0.736842105263158,"2","1","0","0",1,1
"No insurance",34,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.526315789473684,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"No insurance",31,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","1","0",0.473684210526316,0.473684210526316,0,"2","0","0","1",1,1
"Insurance information",21,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.842105263157895,"2","0","1","0",1,1
"No insurance",50,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.684210526315789,0.684210526315789,0.684210526315789,"2","0","0","1",1,1
"No insurance",25,"Male","Other",0,0,0,"1","1",346.371421833092,"0","1","0","0","0",0.736842105263158,0.947368421052632,0.789473684210526,"2","0","0","1",0,1
"Insurance information",29,"Female","Other",0,0,0,"1","0",299.138955219488,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","1","0",1,1
"No insurance",32,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","0","0","1",1,1
"No insurance",22,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","0","0","1",1,1
"No insurance",29,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","1","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"Insurance information",35,"Female","Other",0,0,0,"0","0",173.185710916546,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","1","0",1,1
"Insurance information",62,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.473684210526316,0.789473684210526,0.789473684210526,"2","0","1","0",1,1
"No insurance",45,"Female","Other",0,0,0,"0","1",267.650644143753,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","0","0","1",1,1
"Insurance",19,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.631578947368421,0.210526315789474,0.368421052631579,"2","1","0","0",1,1
"Insurance",29,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.368421052631579,0.421052631578947,0.105263157894737,"2","1","0","0",1,1
"Insurance information",36,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.789473684210526,0.789473684210526,0.789473684210526,"2","0","1","0",1,1
"Insurance information",23,"Male","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.368421052631579,0.526315789473684,0.368421052631579,"2","0","1","0",0,1
"Insurance information",33,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","1","0",1,1
"Insurance information",57,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.789473684210526,"2","0","1","0",1,1
"Insurance information",43,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.578947368421053,0.736842105263158,0.578947368421053,"2","0","1","0",1,1
"Insurance",29,"Male","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","1","0","0",0,1
"Insurance information",58,"Male","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","1","0",0,1
"No insurance",38,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.842105263157895,0.894736842105263,0.842105263157895,"2","0","0","1",1,1
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.363636363636364,0.363636363636364,0.454545454545455,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",1,0.545454545454545,0.545454545454545,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.454545454545455,0.181818181818182,0.363636363636364,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.272727272727273,0.181818181818182,0.181818181818182,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.363636363636364,0.272727272727273,0.727272727272727,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.545454545454545,0.272727272727273,0.181818181818182,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0,0.454545454545455,0,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.181818181818182,0.0909090909090909,0.636363636363636,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.727272727272727,0.454545454545455,0.636363636363636,"1","0","1","0",NA,0
"Insurance information",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.363636363636364,0.727272727272727,0.181818181818182,"1","0","1","0",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.0909090909090909,0.181818181818182,0.272727272727273,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.454545454545455,0.454545454545455,0.181818181818182,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.363636363636364,0.454545454545455,0.363636363636364,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.0909090909090909,0.0909090909090909,0.0909090909090909,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.727272727272727,0.545454545454545,0.818181818181818,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.727272727272727,0.363636363636364,0.545454545454545,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0,0.363636363636364,0,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",1,1,1,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.454545454545455,0.454545454545455,0.545454545454545,"1","0","0","1",NA,0
"No insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.545454545454545,0.545454545454545,0.545454545454545,"1","0","0","1",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.181818181818182,0.0909090909090909,0.0909090909090909,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.454545454545455,0.363636363636364,0.363636363636364,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.0909090909090909,0.909090909090909,0.181818181818182,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.454545454545455,0.272727272727273,0.636363636363636,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.363636363636364,0.454545454545455,0.363636363636364,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.636363636363636,0.454545454545455,0.545454545454545,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0,0.636363636363636,0.454545454545455,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.0909090909090909,0.0909090909090909,0.545454545454545,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.181818181818182,0,0.636363636363636,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.454545454545455,0.363636363636364,0.454545454545455,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",1,1,1,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.363636363636364,0.181818181818182,0.636363636363636,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.272727272727273,0.272727272727273,0.272727272727273,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0,0.0909090909090909,0.0909090909090909,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.363636363636364,0.454545454545455,0.545454545454545,"1","1","0","0",NA,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.272727272727273,0.0909090909090909,0,"1","1","0","0",NA,0
"Insurance",40,"Male","Ewe",0,1,0,"0","0",110,"0","0","0",NA,"0",0.454545454545455,0.454545454545455,0.545454545454545,"1","1","0","0",0,0
"No insurance",48,"Female","Akan",1,0,0,"1","1",700,"0","1","1","0","0",0.181818181818182,0.272727272727273,0.454545454545455,"1","0","0","1",1,0
"No insurance",29,"Female","Ewe",0,1,0,"0","1",900,"0","1","1","0","0",0.454545454545455,0.454545454545455,0.454545454545455,"1","0","0","1",1,0
"No insurance",43,"Male","Akan",1,0,0,"0","0",175,"0","1","1","0","0",0.454545454545455,0.181818181818182,0.636363636363636,"1","0","0","1",0,0
"No insurance",71,"Female","Akan",1,0,0,"0","0",NA,"0","1","1","0","0",0.454545454545455,0.545454545454545,0.909090909090909,"1","0","0","1",1,0
"No insurance",30,"Male","Ewe",0,1,0,"0","1",1100,"0","1","1","0","0",0.454545454545455,0.454545454545455,0.636363636363636,"1","0","0","1",0,0
"No insurance",42,"Male","Akan",1,0,0,"0","1",175,"0","1","1","0","0",0.363636363636364,0.454545454545455,0.545454545454545,"1","0","0","1",0,0
"No insurance",34,"Male","Ewe",0,1,0,"0","1",1100,"0","1","1","0","0",0.181818181818182,0.181818181818182,0.181818181818182,"1","0","0","1",0,0
"Insurance",40,"Male","Akan",1,0,0,"1","1",425,"0","1","0","1","0",0.454545454545455,0.363636363636364,0.545454545454545,"1","1","0","0",0,0
"Insurance",27,"Female","Other",0,0,0,"0","1",175,"0","1","1","0","0",0.272727272727273,0.0909090909090909,0.0909090909090909,"1","1","0","0",1,0
"Insurance",29,"Female","Akan",1,0,0,"1","1",180,"0","1","1","0","0",0.454545454545455,0.363636363636364,0.363636363636364,"1","1","0","0",1,0
"Insurance",32,"Male","Other",0,0,0,"0","1",900,"0","1","1","1","0",0.272727272727273,0.272727272727273,0.272727272727273,"1","1","0","0",0,0
"Insurance",32,"Female","Ga Adangbe",0,0,1,"0","1",NA,"0","1","1","0","0",0.454545454545455,0.454545454545455,0.454545454545455,"1","1","0","0",1,0
"Insurance",41,"Male","Ewe",0,1,0,"0","1",325,"0","1","1","0","0",0.545454545454545,0.727272727272727,0.727272727272727,"1","1","0","0",0,0
"Insurance",32,"Female","Akan",1,0,0,"0","1",68,"0","1","1","0","0",0,0.363636363636364,0.636363636363636,"1","1","0","0",1,0
"Insurance",40,"Male","Other",0,0,0,"0","1",175,"0","0","1","0","0",1,1,0.0909090909090909,"1","1","0","0",0,0
"Insurance",47,"Female","Akan",1,0,0,"0","1",180,"0","1","1","1","0",0.0909090909090909,0.0909090909090909,0.0909090909090909,"1","1","0","0",1,0
"Insurance",25,"Female","Akan",1,0,0,"0","1",500,"1","1","1","0","0",0.0909090909090909,0.272727272727273,0.545454545454545,"1","1","0","0",1,0
"Insurance",36,"Female","Akan",1,0,0,"0","1",380,"0","1","1","0","0",0.181818181818182,0.727272727272727,0.636363636363636,"1","1","0","0",1,0
"Insurance",43,"Male","Akan",1,0,0,"0","1",550,"0","1","1","0","0",0.545454545454545,0.0909090909090909,0.545454545454545,"1","1","0","0",0,0
"Insurance",26,"Male","Akan",1,0,0,"0","0",NA,"0","1","1","0","0",0.454545454545455,0.545454545454545,0.181818181818182,"1","1","0","0",0,0
"Insurance",42,"Female","Ewe",0,1,0,"0","0",30,"0","1","1","0","0",0.545454545454545,0.545454545454545,0.454545454545455,"1","1","0","0",1,0
"Insurance",22,"Male","Ewe",0,1,0,"0","0",220,"0","1","1","0","0",0.545454545454545,0.454545454545455,0.454545454545455,"1","1","0","0",0,0
"Insurance",45,"Male","Ewe",0,1,0,"0","1",475,"0","1","1","0","0",0.545454545454545,0.545454545454545,0.272727272727273,"1","1","0","0",0,0
"Insurance",45,"Male","Akan",1,0,0,"0","1",500,"0","1","1","0","0",0.0909090909090909,0.272727272727273,0.181818181818182,"1","1","0","0",0,0
"Insurance",33,"Female","Other",0,0,0,"0","0",900,"0","1","1","1","0",0.454545454545455,0.454545454545455,0.909090909090909,"1","1","0","0",1,0
"Insurance",36,"Male","Akan",1,0,0,"0","1",275,"0","1","1","1","0",0.181818181818182,0.181818181818182,0.181818181818182,"1","1","0","0",0,0
"Insurance",35,"Female","Other",0,0,0,"0","1",475,"0","1","1","0","0",0.545454545454545,0.545454545454545,0.181818181818182,"1","1","0","0",1,0
"Insurance",52,"Female","Other",0,0,0,"1","1",500,"0","1","1","0","0",0.181818181818182,0.181818181818182,0.545454545454545,"1","1","0","0",1,0
"Insurance",39,"Female","Ewe",0,1,0,"0","1",500,"0","1","1","0","0",0.272727272727273,0.272727272727273,0.272727272727273,"1","1","0","0",1,0
"Insurance",33,"Female","Ga Adangbe",0,0,1,"0","1",70,"1","1","0","0","0",0.363636363636364,0.454545454545455,0.272727272727273,"1","1","0","0",1,0
"Insurance",51,"Male","Akan",1,0,0,"1","1",500,"0","1","1","0","0",0.545454545454545,0.545454545454545,1,"1","1","0","0",0,0
"Insurance",43,"Male","Other",0,0,0,"0","0",500,"0","1","1","0","0",0.545454545454545,0.454545454545455,1,"1","1","0","0",0,0
"Insurance",NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0",NA,"0",0.727272727272727,0.727272727272727,0.454545454545455,"1","1","0","0",NA,0
"No insurance",43,"Female","Other",0,0,0,"0","1",175,"0","1","1","1","0",0.545454545454545,0.454545454545455,0.454545454545455,"1","0","0","1",1,0
"No insurance",19,"Male","Other",0,0,0,"0","0",68,"0","1","1","1","0",0.545454545454545,0.454545454545455,0.454545454545455,"1","0","0","1",0,0
"No insurance",43,"Female","Akan",1,0,0,"0","1",380,"0","1","1","0","0",0.909090909090909,0.363636363636364,0,"1","0","0","1",1,0
"No insurance",41,"Female","Akan",1,0,0,"0","1",180,"0","1","1","0","0",0.363636363636364,0.363636363636364,0.363636363636364,"1","0","0","1",1,0
"No insurance",57,"Female","Ga Adangbe",0,0,1,"0","1",NA,"0","1","1","0","0",0.363636363636364,0.545454545454545,0.545454545454545,"1","0","0","1",1,0
"No insurance",49,"Female","Ewe",0,1,0,"0","1",220,"0","1","1","0","0",0.545454545454545,0.636363636363636,1,"1","0","0","1",1,0
"No insurance",71,"Female","Ga Adangbe",0,0,1,"1","1",30,"0","1","1","1","0",0.818181818181818,1,0.545454545454545,"1","0","0","1",1,0
"No insurance",61,"Female","Other",0,0,0,"0","0",NA,"0","1","1","0","0",0.909090909090909,0.545454545454545,0.636363636363636,"1","0","0","1",1,0
"Insurance information",31,"Female","Ewe",0,1,0,"0","1",175,"0","1","1","0","0",0.545454545454545,0.545454545454545,0.454545454545455,"1","0","1","0",1,0
"Insurance information",19,"Female","Other",0,0,0,"0","0",NA,"0","1","1","0","0",0.363636363636364,0.363636363636364,0.363636363636364,"1","0","1","0",1,0
"Insurance information",26,"Female","Akan",1,0,0,"0","0",180,"0","1","1","0","0",1,1,1,"1","0","1","0",1,0
"Insurance information",39,"Female","Akan",1,0,0,"0","1",175,"0","1","1","0","0",1,1,1,"1","0","1","0",1,0
"Insurance information",27,"Male","Akan",1,0,0,"0","0",260,"1","1","1","0","0",0.363636363636364,0.181818181818182,0.363636363636364,"1","0","1","0",0,0
"Insurance information",48,"Female","Akan",1,0,0,"1","0",110,"0","1","1","0","0",0.454545454545455,0.181818181818182,0.636363636363636,"1","0","1","0",1,0
"Insurance information",24,"Female","Other",0,0,0,"0","0",75,"0","1","1","0","0",0.727272727272727,0.727272727272727,0.727272727272727,"1","0","1","0",1,0
"Insurance information",32,"Female","Other",0,0,0,"1","1",220,"0","1","1","0","0",1,1,1,"1","0","1","0",1,0
"No insurance",46,"Female","Ga Adangbe",0,0,1,"0","1",180,"0","1","1","0","0",0.272727272727273,0.272727272727273,0.272727272727273,"1","0","0","1",1,0
"No insurance",56,"Female","Ewe",0,1,0,"0","1",900,"0","1","1","0","0",0.272727272727273,0.272727272727273,0.272727272727273,"1","0","0","1",1,0
"No insurance",43,"Female","Ga Adangbe",0,0,1,"0","1",325,"0","1","1","0","0",0.454545454545455,0.454545454545455,0.363636363636364,"1","0","0","1",1,0
"No insurance",52,"Female","Other",0,0,0,"0","1",900,"0","1","1","0","0",0.272727272727273,0.181818181818182,0.454545454545455,"1","0","0","1",1,0
"No insurance",38,"Female","Other",0,0,0,"0","1",340,"0","1","1","0","0",0.545454545454545,0.636363636363636,1,"1","0","0","1",1,0
"No insurance",31,"Female","Ewe",0,1,0,"0","1",180,"0","0","1",NA,"0",0.454545454545455,0.454545454545455,0.454545454545455,"1","0","0","1",1,0
"No insurance",45,"Male","Akan",1,0,0,"0","1",175,"0","1","1","0","0",0.545454545454545,0.545454545454545,0.545454545454545,"1","0","0","1",0,0
"No insurance",45,"Female","Ewe",0,1,0,"0","1",175,"0","1","1","0","0",0.909090909090909,0.363636363636364,0.454545454545455,"1","0","0","1",1,0
"No insurance",27,"Female","Ewe",0,1,0,"0","1",68,"0","0","1","0","0",0.454545454545455,0.363636363636364,0.454545454545455,"1","0","0","1",1,0
"No insurance",65,"Female","Ewe",0,1,0,"0","1",380,"0","1","1","0","0",0.363636363636364,0.545454545454545,0.454545454545455,"1","0","0","1",1,0
"No insurance",20,"Female","Other",0,0,0,"0","1",700,"0","1","1","0","0",0.181818181818182,0.545454545454545,0.0909090909090909,"1","0","0","1",1,0
"Insurance information",20,"Male","Ewe",0,1,0,"0","0",30,"0","1","0","0","0",0.454545454545455,0.272727272727273,0.545454545454545,"1","0","1","0",0,0
"Insurance information",58,"Male","Other",0,0,0,"1","1",1050,"0","1","1","0","0",0.272727272727273,0.363636363636364,0.363636363636364,"1","0","1","0",0,0
"Insurance information",20,"Female","Ewe",0,1,0,"0","1",175,"0","1","1","0","0",1,1,0.909090909090909,"1","0","1","0",1,0
"Insurance information",37,"Female","Akan",1,0,0,"0","1",30,"0","1","1","1","0",0.272727272727273,0.272727272727273,0.181818181818182,"1","0","1","0",1,0
"Insurance information",45,"Female","Ewe",0,1,0,"0","1",220,"0","1","1","0","0",0.454545454545455,0.454545454545455,0.454545454545455,"1","0","1","0",1,0
"Insurance information",38,"Female","Ewe",0,1,0,"0","1",375,"0","1","1","0","0",0.818181818181818,0.454545454545455,0.454545454545455,"1","0","1","0",1,0
"Insurance information",37,"Male","Akan",1,0,0,"1","1",1050,"0","1","1","0","0",1,1,1,"1","0","1","0",0,0
"Insurance information",65,"Male","Akan",1,0,0,"1","0",950,"1","1","1","0","0",0.545454545454545,0.454545454545455,0.454545454545455,"1","0","1","0",0,0
"Insurance information",20,"Female","Ewe",0,1,0,"0","0",68,"0","0","0","1","0",0.727272727272727,0.818181818181818,0.727272727272727,"1","0","1","0",1,0
"Insurance information",33,"Female","Akan",1,0,0,"0","1",68,"0","1","1","0","0",0.636363636363636,0.272727272727273,0.272727272727273,"1","0","1","0",1,0
"No insurance",31,"Male","Ga Adangbe",0,0,1,"0","0",75,"0","1","0","0","0",0.0909090909090909,0.272727272727273,0.454545454545455,"1","0","0","1",0,0
"No insurance",19,"Female","Akan",1,0,0,"0","0",NA,"0","1","0","0","0",0.363636363636364,0.363636363636364,0.363636363636364,"1","0","0","1",1,0
"No insurance",32,"Male","Other",0,0,0,"1","0",1300,"0","1","1","0","0",0.636363636363636,0.545454545454545,0.636363636363636,"1","0","0","1",0,0
"No insurance",33,"Female","Ewe",0,1,0,"0","1",275,"0","1","1","0","0",0.454545454545455,0.363636363636364,0.272727272727273,"1","0","0","1",1,0
"No insurance",47,"Male","Ga Adangbe",0,0,1,"0","1",550,"0","1","1","0","0",0.454545454545455,0.181818181818182,0.818181818181818,"1","0","0","1",0,0
"No insurance",36,"Male","Ewe",0,1,0,"1","1",325,"0","1","1","0","0",0.545454545454545,0.454545454545455,0.363636363636364,"1","0","0","1",0,0
"No insurance",25,"Female","Akan",1,0,0,"0","1",175,"0","1","1","0","0",0.454545454545455,0.0909090909090909,0.454545454545455,"1","0","0","1",1,0
"No insurance",19,"Female","Akan",1,0,0,"0","0",68,"1","1","0","0","0",0.454545454545455,0,0,"1","0","0","1",1,0
"No insurance",46,"Male","Ewe",0,1,0,"0","0",75,"0","1","1","1","0",0.181818181818182,0.909090909090909,0.909090909090909,"1","0","0","1",0,0
"No insurance",26,"Female","Other",0,0,0,"0","0",NA,"0","1","1","0","0",0.454545454545455,0.818181818181818,0.454545454545455,"1","0","0","1",1,0
"Insurance",38,"Female","Ewe",0,1,0,"0","0",68,"0","1","1","0","0",1,0.181818181818182,0.727272727272727,"1","1","0","0",1,0
"Insurance",64,"Female","Ga Adangbe",0,0,1,"0","1",68,"0","1","1","0","0",0.272727272727273,0.272727272727273,0.272727272727273,"1","1","0","0",1,0
