"pcode","session","treatment","age","gender","activity","birthplace","accra","married","ethnicity","education","left_ghana","left_ghana_location","work_status","work_sector","income_source","income_individual","income_household","financial_decisions","care_number_minor","care_live_minor","care_number_adult","care_live_adult","care_number_elderly_parent","care_live_elderly_parent","care_number_other_family","care_live_other_family","food_weekly","transport_weekly","weekly_expense_sickness","weekly_expense_social_contributions","weekly_expense_microfinance","weekly_expense_utilities","business_investment","business_ownership","business_length","business_employees","religion","religion_birth","denomination_other","different_church","church_assistance","church_attendance","ministry_hours_ushering","ministry_hours_children","ministry_hours_choir","ministry_hours_prayer","ministry_hours_women_men","ministry_hours_youth","ministry_hours_outreach","ministry_hours_deaconess","ministry_hours_protocol","ministry_hours_pastoring","ministry_hours_home_fellowship","church_length","church_distance","church_move","church_convince","pray","food","alcohol","alcohol_reasons","family_death","spiritual_attack","church_giving","tithes","church_debt","charity","god_finances","close_friends","coworkers","business_partners","prayercamp","clubs","political_taxes","spouse","trust_ghana","trust_ghana_govt","nih","nih_reason","other_insurance","other_insurance_specify","number_churches","last_church_attend","was_last_church_revival","event_donation","next_church_attend","next_revival","influence","enum_help","n_in_session","date","revival_assignment_raw","timesurvey","weekday","experiment_date","enum","enum_gender","enum_foreign","desk","population","revival","church_revival_start","church_revival_end","revival_church","date_experiment_date","was_revival_church_had_revival","was_revival","revival_compliance_type","revival_assignment","Tinsurance","Tnoinsurance","Tinsuranceinfo","church_code","higheducation","employed","ethnicity_akan","ethnicity_ewe","ethnicity_ga","ethnicity_other","married_d","church_weekly","church_daily","church_sevweekly","pray_multiple","any_insurance","tmonthlyincome","log_tmonthlyincome","tweeklyincome","wave","church_reasons_teaching","church_reasons_moral_guidance","church_reasons_atmosphere","church_reasons_friends","church_reasons_welcoming_members","church_reasons_interesting_congregation","church_reasons_marriage_partner","church_reasons_close_to_home","church_reasons_comfortable_facilities","newborn_traditional","newborn_church_blessing","newborn_baptism","newborn_outdooring","newborn_nothing","church_convince_preaching_in_church","church_convince_preaching_outside_church","church_convince_inviting","church_convince_distributing_material","church_convince_public_speaking","church_convince_prayer","help_financial_no_one","help_financial_government_or_ngo","help_financial_friends","help_financial_family","help_financial_imam","help_financial_work_superior","help_financial_bank","help_financial_other","help_family_no_one","help_family_government_or_ngo","help_family_friends","help_family_family","help_family_pastor","help_family_imam","help_family_church_member","help_family_work_superior","help_family_medical_professional","help_family_bank","help_family_other","help_health_no_one","help_health_government_or_ngo","help_health_friends","help_health_family","help_health_pastor","help_health_imam","help_health_church_member","help_health_work_superior","help_health_medical_professional","help_health_bank","help_health_other","help_financial_church_community","ministry_hours","high_ministry","choice_church_thanks","choice_church_street","choice_keep_church","choice_keep_thanks","choice_church_churchnamed","choice_churchnamed_thanks","choice_churchnamed_street","choice_street_thanks","choice_keep_churchnamed","choice_keep_street","work_status_other","work_sector_other","income_source_other","income_month_household","financial_decision_other","care_number_other_family_care","care_live_other_family_care","religion_other","church_reasons_other","church_reasons_other_details","clothing","newborn_5","newborn_other","family_death_other","help_family_other_details","help_financial_other_details","help_health_government_hospital","help_health_traditional_healer","help_health_other_details","political_affiliation","spouse_other","day","monthlyincome","market_help_3","decision_time","insurance","datetime","time","subjectidx","muslim","share","percent","high_giving","revival_Tinsurance","revival_Tnoinsurance","insurance_high","noinsurance_high","ethnicity_other_details","church_n_nonrevival","Dchurch1","Dchurch2","Dchurch3","Dchurch4","Dchurch5","Dchurch6","Dchurch7","Dchurch8","Dchurch9","Dchurch10","Dchurch20","Dchurch21","Dchurch30","church_name_raw","church_name_grouped","denomination_market","wave_endowment","wave_exchange_to_2019","cedi2019_choice_church_thanks","cedi2019_choice_church_street","cedi2019_choice_keep_church","cedi2019_choice_keep_thanks","cedi2019_choice_church_churchnamed","cedi2019_choice_churchnamed_thanks","cedi2019_choice_churchnamed_street","cedi2019_choice_street_thanks","cedi2019_choice_keep_churchnamed","cedi2019_choice_keep_street","giving_share","giving_quartile","high_giver","high_giver_church","high_giver_wave","church_ministry_children","church_ministry_choir","church_ministry_prayer","church_ministry_outreach","church_ministry_home_fellowship","church_ministry_all_ages","church_ministry_ushering_and_protocol","church_ministry_pastoring_or_deacon","ministry_count","changed_food_drink_religious","last_church_weekday","changed_church","always_church","gets_family_help_from_church","business_with_church","makes_friends_in_church","travels_more_than_hour","took_debt_for_church","moved_for_church","newborn_blessing_in_church","attended_prayercamp","believes_god_involved_in_finances","many_ministries","tries_to_convince_others","believes_spiritual_attack","charity_more_important","charity_less_important","received_assistance","is_married","has_nih","has_other_insurance","use_church_spiritually","use_church_financially","use_church_socially","costly_behaviour","use_church_network"
NA,68,"No insurance",27,"Female",NA,"Urban Ghana (not Accra)","2-5 years","Single","Ewe","JHSS","No",".","Employed","Services","Salaried job","3",NA,"Parent","0","0","0","0","0","0","0","0","11","3",NA,NA,NA,NA,"1","No",NA,".","Pentecostal or charismatic Christian","No",".","No","No","More than once per week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More than 3 hours","Less than 30 minutes","No",NA,"Once per day","No","No","No","Illness","Yes",2.5,"I do not regularly pay tithes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek people from my church or mosque but it is not so important","Yes, I try to do business with people from my church but it is not so important","No",".",NA,"Through friends","0","3","No",".","No",".",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,954,"6",NA,2,0,0,12,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,6,0,1,0,1,0,NA,0,1,0,1,0,0,175,5.16478586196899,43.75,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0.545454545454545,0.909090909090909,0.0909090909090909,0.727272727272727,0.909090909090909,0.454545454545455,0.0909090909090909,0.0909090909090909,0.363636363636364,0.545454545454545,".",".",".",12,".",0,0,".",0,".","No",0,".",".",".",".",1,0,".","No",".","3010",".",NA,NA,".",NA,".",NA,0,0.0571428574621677,1,0,0,1,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,9.48510652949473,15.8085108824912,1.58085108824912,12.646808705993,15.8085108824912,7.90425544124561,1.58085108824912,1.58085108824912,6.32340435299648,9.48510652949473,0.0142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,1,FALSE,0,0,0,1,0,1,0,FALSE,1,0,0,0,0,0,0,0.829813207910775,0.272805478348318,0,0.111455643025079,0.0511256607662416
NA,69,"Insurance",28,"Male",NA,"Accra","Whole life","Single","Other","JHSS","Yes","Togo","Other",NA,"Family",NA,NA,"Joint decisions incl. me","0","0","0","0","0","0","0","0","6","2",NA,NA,NA,"0.25",NA,"No",NA,".","Other","No",".","Yes, I changed within the last 5 years","Yes","More than once per week",NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,"More than 3 hours","30 minutes to 1 hour","No",NA,"Multiple times per day","No","No","No","Accident","No",7.5,"No","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek people from my church or mosque but it is not so important","Yes, I try to do business with people from my church but it is not so important","Yes","football club",NA,"Church","2","3","No",".","No",".",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,1215,"6",NA,15,0,0,1,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,0,0,0,0,NA,0,1,0,1,1,0,68,4.21950769424438,17,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,1,0,1,0,1,0,0,NA,0,0,NA,0,0,1,0,NA,0,0,NA,0,1,6,1,0.818181818181818,0.272727272727273,0.636363636363636,0.272727272727273,0.181818181818182,0.454545454545455,0.545454545454545,0.454545454545455,0.363636363636364,0.363636363636364,"footballer",".",".",9,".",0,0,"AoG Faith chapel ",0,".","Yes",0,".",".",".",".",1,0,".","No",".","3010",".",NA,NA,".",NA,".",NA,0,0.441176474094391,4,1,1,0,1,0,"Twi, Ga, English",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,14.2276597942421,4.74255326474736,11.0659576177438,4.74255326474736,3.16170217649824,7.90425544124561,9.48510652949473,7.90425544124561,6.32340435299648,6.32340435299648,0.110294117647059,4,1,1,1,0,0,0,1,1,1,0,0,3,0,FALSE,1,0,1,1,FALSE,0,0,0,1,1,1,1,TRUE,0,0,0,1,0,0,0,0.854563007349898,1,0.28040943242108,0.232906253432754,0.5052516807787
NA,69,"Insurance",41,"Male",NA,"Urban Ghana (not Accra)","More than 10 years","Married","Akan","JHSS","No",".","Self-employed","Services","Entrepreneur","8",NA,"Joint decisions incl. me","3","3","1","1","1","0","0","0","14","6",NA,NA,"3","1.75","3","Yes","2","","Pentecostal or charismatic Christian","Yes",".","Yes, I changed more than 5 years ago","No","More than once per week",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2-3 hours","30 minutes to 1 hour","No",NA,"Multiple times per day","No","No","No","Illness","No",7.5,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek people from my church or mosque but it is not so important","Yes, I try to do business with people from my church but it is not so important","No",".",NA,"Through friends","2","2","Yes","i have not registered","No",".",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,1121,"6",NA,4,0,0,3,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,1,1,0,0,NA,1,1,0,1,1,1,220,5.39362764358521,55,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,1,0,NA,0,0,NA,0,1,2,0,0.545454545454545,0.454545454545455,0.363636363636364,0.0909090909090909,0,0.181818181818182,0.636363636363636,0.272727272727273,0.363636363636364,0.545454545454545,".",".",".",3,".",1,1,".",0,".","No",0,".",".",".",".",1,0,".","Yes",".","3010",".",NA,NA,".",NA,".",NA,0,0.136363640427589,2,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,9.48510652949473,7.90425544124561,6.32340435299648,1.58085108824912,0,3.16170217649824,11.0659576177438,4.74255326474736,6.32340435299648,9.48510652949473,0.0340909090909091,2,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,1,0,1,1,FALSE,0,0,0,1,0,1,0,TRUE,0,0,0,0,1,1,0,0.829733966215544,0.657589083305137,0.28040943242108,0.111455643025079,0.359266593538132
NA,69,"Insurance",33,"Female",NA,"Urban Ghana (not Accra)","More than 10 years","Single","Ga Adangbe","Primary","No",".","Self-employed","Services","Entrepreneur","8",NA,"Me","0","0","1","0","0","1","0","0","7","5",NA,NA,"3","1","1","Yes","1","1","Pentecostal or charismatic Christian","No",".","Yes, I changed within the last 5 years","No","More than once per week",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"1-2 hours","Less than 30 minutes","No",NA,"Multiple times per day","No","No","No","Illness","No",12.1999998092651,"No","No","Yes, they are equally important","God blesses me with financial abundance","Yes, I try to only make friends with people from my church","Yes, I only work with people from my church or mosque","No, it is not important at all","No","no",NA,"Church","3","2","Yes","no reason","No",".",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1121,"6",NA,16,1,0,5,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,1,0,0,1,NA,0,1,0,1,1,1,220,5.39362764358521,55,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,0,0,1,0,NA,0,0,NA,0,1,2,0,0.454545454545455,0.545454545454545,0.545454545454545,0.545454545454545,0.454545454545455,0.545454545454545,0.545454545454545,0.454545454545455,0.545454545454545,0.545454545454545,".",".",".",6,".",0,0,".",0,".","No",0,".",".",".",".",0,0,".","No",".","3010",".",NA,NA,".",NA,".",NA,0,0.221818178892136,3,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,7.90425544124561,9.48510652949473,9.48510652949473,9.48510652949473,7.90425544124561,9.48510652949473,9.48510652949473,7.90425544124561,9.48510652949473,9.48510652949473,0.0554545445875688,3,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,1,0,1,0,TRUE,0,0,0,1,0,1,0,TRUE,0,0,0,0,0,1,0,0.7931596911996,0.384783604956819,0.339894544078642,0.111455643025079,0.366850980486131
NA,69,"Insurance",33,"Male",NA,"Urban Ghana (not Accra)","More than 10 years","Single","Akan","SHS","No",".","Self-employed","Services","Entrepreneur","5",NA,"Me","0","0","0","0","0","0","0","0","12","4",NA,NA,NA,"0.75","3","Yes","2","4","Pentecostal or charismatic Christian","Yes",".","Yes, I changed within the last 5 years","No","Weekly",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"2-3 hours","Less than 30 minutes","No",NA,"Multiple times per day","No","Yes","No","Accident","No",12.1999998092651,"Yes","No","Yes, they are equally important","God blesses me with financial abundance","No, it is not important at all","No, it is not important at all","No, it is not important at all","Yes","No",NA,"Through family","0","1","Yes","Was busy when registration was ongoing","No",".",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,1119,"6",NA,17,1,0,6,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,1,1,0,0,NA,0,1,0,0,1,1,275,5.61677122116089,68.75,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,1,1,1,0,1,1,0,NA,0,0,NA,0,0,1,0,NA,0,0,NA,0,0,2,0,0.545454545454545,0.545454545454545,0.181818181818182,0.181818181818182,0.545454545454545,0.636363636363636,0.545454545454545,0.545454545454545,0.181818181818182,0.181818181818182,".",".",".",6,".",0,0,".",0,".","No",0,".",".",".",".",1,1,".","Yes",".","3010",".",NA,NA,".",NA,".",NA,0,0.177454546093941,3,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,9.48510652949473,9.48510652949473,3.16170217649824,3.16170217649824,9.48510652949473,11.0659576177438,9.48510652949473,9.48510652949473,3.16170217649824,3.16170217649824,0.044363635670055,3,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,1,0,1,0,FALSE,0,0,0,1,1,1,0,TRUE,0,0,0,0,0,1,0,0.891137282365842,0,0,0,0
NA,69,"Insurance",29,"Male",NA,"Rural Ghana","More than 10 years","Single","Ewe","JHSS","No",".","Self-employed","Manufacturing or construction","Entrepreneur","11",NA,"Me","0","2","0","0","0","1","0","0","8","3",NA,NA,NA,"0.25","9","Yes","2","1","Pentecostal or charismatic Christian","No",".","Yes, I changed within the last 5 years","No","Weekly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More than 3 hours","Less than 30 minutes","No",NA,"Multiple times per day","No","Yes","No","Accident","No",2.5,"No","No","No, charity is more important","God blesses me with financial abundance","No, it is not important at all","No, it is not important at all","No, it is not important at all","No",".",NA,"Other","2","3","Yes","i dont fall sick","No",".",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,1122,"6",NA,1,0,0,7,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,1,0,1,0,NA,0,1,0,0,1,1,650,6.47697257995605,162.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,0,0,0,0,0,0,1,0,0,1,0,NA,0,0,NA,0,0,0,0,NA,0,1,NA,0,0,0,0,0.0909090909090909,0.727272727272727,0.0909090909090909,0.545454545454545,1,0.363636363636364,0.727272727272727,0,0.0909090909090909,0.636363636363636,".",".",".",12,".",0,0,".",0,".","Yes",0,".",".",".",".",0,0,".","No","any where","3010",".",NA,NA,".",NA,".",NA,0,0.0153846153989434,1,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,1.58085108824912,12.646808705993,1.58085108824912,9.48510652949473,17.3893619707403,6.32340435299648,12.646808705993,0,1.58085108824912,11.0659576177438,0.00384615384615385,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,FALSE,0,0,0,1,0,1,0,TRUE,0,1,0,0,0,1,0,0.7931596911996,0,0,0,0
NA,69,"Insurance",28,"Male",NA,"Urban Ghana (not Accra)","5 - 10 years","Single","Akan","Polytechnic","No",".","Unemployed or casual workers","Manufacturing or construction","Salaried job","6",NA,"Parent","0","0","0","0","0","0","0","0","8","5",NA,"1.5",NA,NA,"1","No",NA,".","Pentecostal or charismatic Christian","Yes",".","No","No","More than once per week",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"2-3 hours","30 minutes to 1 hour","No",NA,"Multiple times per day","No","Yes","No","Old age","No",7.5,"No","No","No, charity is more important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","Yes, I try to do business with people from my church but it is not so important","No",".",NA,"Other social gathering","2","1","No",".","Yes","TIGO INSURANCE",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,1216,"6",NA,7,0,0,8,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,1,0,1,0,0,NA,0,1,0,1,1,1,325,5.78382539749146,81.25,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,1,NA,0,0,2,0,0.454545454545455,0.636363636363636,0.454545454545455,0.454545454545455,0.454545454545455,0.545454545454545,0.636363636363636,0.454545454545455,1,1,".",".",".",15,".",0,0,".",0,".","No",0,".",".",".",".",1,0,".","Yes",".","3010",".",NA,NA,".",NA,".",NA,0,0.0923076942563057,2,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,7.90425544124561,11.0659576177438,7.90425544124561,7.90425544124561,7.90425544124561,9.48510652949473,11.0659576177438,7.90425544124561,17.3893619707403,17.3893619707403,0.0230769230769231,2,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,0,0,0,1,FALSE,0,0,0,1,0,1,0,FALSE,0,1,0,0,0,0,1,0.829733966215544,0.272805478348318,0,0.111455643025079,0.0511256607662416
NA,69,"Insurance",19,"Male",NA,"Accra","Whole life","Single","Ga Adangbe","SHS","No",".","Student","Student","Family","5",NA,"Parent","0","0","0","0","0","0","0","0","4","2",NA,NA,NA,NA,"1","No",NA,".","Pentecostal or charismatic Christian","Yes",".","No","No","More than once per week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-2 hours","30 minutes to 1 hour","No",NA,"Multiple times per day","No","No","No","Illness","No",7.5,"No","No","Yes, they are equally important","God blesses me with financial abundance","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","Friends Youth Club",NA,"Through school","0","1","No",".","No",".",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,1211,"6",NA,12,1,1,9,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,0,0,0,1,NA,0,1,0,1,1,0,110,4.70048046112061,27.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0.545454545454545,0.545454545454545,0.545454545454545,0.545454545454545,0.545454545454545,0.636363636363636,0.545454545454545,0.454545454545455,0.363636363636364,0.545454545454545,".",".",".",10,".",0,0,".",0,".","Yes",0,".",".",".",".",1,0,".","No",".","3010",".",NA,NA,".",NA,".",NA,0,0.272727280855179,3,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,9.48510652949473,9.48510652949473,9.48510652949473,9.48510652949473,9.48510652949473,11.0659576177438,9.48510652949473,7.90425544124561,6.32340435299648,9.48510652949473,0.0681818181818182,3,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,1,0,1,0,TRUE,0,0,0,0,0,0,0,0.7931596911996,0,0,0.111455643025079,0
NA,69,"Insurance",57,"Male",NA,"Accra","More than 10 years",NA,"Ewe","SHS","No",".","Unemployed or casual workers","Agriculture","Entrepreneur","11",NA,"Me","0","0","1","1","0","0","0","0","16","7",NA,NA,NA,"1.25","9","Yes","3","1","Pentecostal or charismatic Christian","No",".","Yes, I changed within the last 5 years","No","More than once per week",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,"2-3 hours","Less than 30 minutes","No",NA,"Multiple times per day","No","No","Yes","Old age","No",57.5,"No","No","Yes, they are equally important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","None",NA,"Through family","1","2","Yes","Is considering but is currently not enthused","No",".",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,1115,"6",NA,13,1,0,10,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,0,0,1,0,NA,0,1,0,1,1,1,650,6.47697257995605,162.5,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,3,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.909090909090909,0,0.272727272727273,0.0909090909090909,0.0909090909090909,".",".",".",16,".",0,0,".",0,".","Yes",0,".",".",".",".",0,0,".","Yes",".","3010",".",NA,NA,".",NA,".",NA,0,0.353846162557602,4,1,1,0,1,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,0,1.58085108824912,1.58085108824912,1.58085108824912,0,15.8085108824912,0,4.74255326474736,1.58085108824912,1.58085108824912,0.0884615384615385,4,1,1,1,0,0,0,0,1,1,0,0,2,1,FALSE,1,0,1,0,FALSE,0,0,0,1,0,1,0,FALSE,0,0,0,0,NA,1,0,0.7931596911996,0,0.379696023500278,0.323452410942669,0.266884465609521
NA,69,"Insurance",19,"Female",NA,"Urban Ghana (not Accra)","2-5 years","Single","Ewe","Primary","No",".","Other","Services","Other",NA,NA,"Other","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"No",NA,".","Pentecostal or charismatic Christian","No",".","Yes, I changed within the last 5 years","No","More than once per week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More than 3 hours","Less than 30 minutes","No",NA,"Multiple times per day","No","No","No","Illness","No",2.5,"I do not regularly pay tithes","No","No, charity is more important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","No",".",NA,"Church","2","3","Yes","I cannot afford the premium","No",".",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1018,"6",NA,9,1,0,11,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,0,0,1,0,NA,0,1,0,1,1,1,68,4.21950769424438,17,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,0,0,NA,0,0,NA,1,0,0,0,0.454545454545455,0.545454545454545,0.454545454545455,0.545454545454545,1,0.272727272727273,0.454545454545455,0.363636363636364,0.545454545454545,0.363636363636364,"House help",".","Charity",NA,"My Madam",0,0,".",0,".","No",0,".",".","My Madam","My Madam",0,0,"My Madam buys me medicine","No",".","3010",".",NA,NA,".",NA,".",NA,0,0.147058829665184,2,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,7.90425544124561,9.48510652949473,7.90425544124561,9.48510652949473,17.3893619707403,4.74255326474736,7.90425544124561,6.32340435299648,9.48510652949473,6.32340435299648,0.0367647058823529,2,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,FALSE,0,0,0,1,0,1,0,FALSE,0,1,0,0,0,1,0,0.7931596911996,0,0.28040943242108,0.111455643025079,0.169153805897538
NA,69,"Insurance",57,"Female",NA,"Urban Ghana (not Accra)","2-5 years","Married","Akan","JHSS","No",".","Self-employed","Services","Entrepreneur",NA,NA,"Joint decisions incl. me","0","0","1","0","0","0","0","0","9","4",NA,NA,NA,"0.5","9","Yes","2","1","Pentecostal or charismatic Christian","Yes",".","No","No","More than once per week",NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,"More than 3 hours","Less than 30 minutes","No",NA,"Multiple times per day","No","No","No","Old age","No",2.5,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to only make friends with people from my church","Yes, I try to seek people from my church or mosque but it is not so important","No, it is not important at all","No",".",NA,"Church","1","3","No",".","No",".",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1112,"6",NA,2,0,0,12,"church",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,1,1,0,0,NA,1,1,0,1,1,0,175,5.16478586196899,43.75,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,6,1,0,0.454545454545455,0.454545454545455,0.454545454545455,0.636363636363636,0.454545454545455,0.545454545454545,0.454545454545455,0.363636363636364,0.636363636363636,".",".",".",6,".",0,0,".",0,".","No",0,".",".",".",".",1,0,".","No",".","3010",".",NA,NA,".",NA,".",NA,0,0.0571428574621677,1,0,1,0,0,0,".",62,0,0,0,0,0,1,0,0,0,0,0,0,0,"AoG Faith Chapel","AoG Faith Chapel",".",11,1.58085108824912,0,7.90425544124561,7.90425544124561,7.90425544124561,11.0659576177438,7.90425544124561,9.48510652949473,7.90425544124561,6.32340435299648,11.0659576177438,0.0142857142857143,1,0,0,0,0,0,1,0,1,1,0,0,3,0,FALSE,0,0,1,0,TRUE,0,0,0,0,0,1,1,TRUE,0,0,0,0,1,0,0,0.7931596911996,0,0.339894544078642,0.111455643025079,0.227863853611779
